día,precio de cierre ajustado,cambio de precio,dia,precio final,cambio,mes,dia,precio final,cambio,,,,día,precio de cierre,cambio de precio
109,1192.7,-7.6,,,,,,,,,,,,,
110,1194.9,2.2,,,,,,,,,,,,,
111,1197.9,3,,,,,,,,,,,,,
112,1193.6,-4.3,,,,,,,,,,,,,
113,1193,-0.6,,,,,,,,,,,,,
114,1195.4,2.4,,,,,,,,,,,,,
115,1204.7,9.3,,,,,,,,,,,,,
116,1202,-2.7,,,,,,,,,,,,,
117,1195,-7,,,,,,,,,,,,,
118,1199.7,4.7,,,,,,,,,,,,,
119,1196.8,-2.9,,,,,,,,,,,,,
120,1202.2,5.4,,,,,,,,,,,,,
121,1206.2,4,,,,,,,,,,,,,
122,1196.2,-10,,,,,,,,,,,,,
123,1199.3,3.1,,,,,,,,,,,,,
124,1200,0.7,,,,,,,,,,,,,
125,1194,-6,,,,,,,,,,,,,
126,1182.3,-11.7,,,,,,,,,,,,,
127,1191.5,9.2,,,,,,,,,,,,,
128,1187.1,-4.4,,,,,,,,,,,,,
129,1202.4,15.3,,,,,,,,,,,,,
130,1198.3,-4.1,,,,,,,,,,,,,
131,1197.2,-1.1,,,,,,,,,,,,,
132,1201.2,4,,,,,,,,,,,,,
133,1184.4,-16.8,,,,,,,,,,,,,
134,1187.2,2.8,,,,,,,,,,,,,
135,1189.3,2.1,,,,,,,,,,,,,
136,1223.5,34.2,,,,,,,,,,,,,
137,1218.1,-5.4,,,,,,,,,,,,,
138,1226.4,8.3,,,,,,,,,,,,,
139,1227.3,0.9,,,,,,,,,,,,,
140,1223.7,-3.6,,,,,,,,,,,,,
141,1226.5,2.8,,,,,,,,,,,,,
142,1225.3,-1.2,,,,,,,,,,,,,
143,1221.2,-4.1,,,,,,,,,,,,,
144,1233.4,12.2,,,,,,,,,,,,,
145,1227.8,-5.6,,,,,,,,,,,,,
146,1229.1,1.3,,,,,,,,,,,,,
147,1232.5,3.4,,,,,,,,,,,,,
148,1224.5,-8,,,,,,,,,,,,,
149,1222.6,-1.9,,,,,,,,,,,,,
150,1212.3,-10.3,,,,,,,,,,,,,
151,1236,23.7,,,,,,,,,,,,,
152,1230.9,-5.1,,,,,,,,,,,,,
153,1229.8,-1.1,,,,,,,,,,,,,
154,1223.8,-6,,,,,,,,,,,,,
155,1226.2,2.4,,,,,,,,,,,,,
156,1222.9,-3.3,,,,,,,,,,,,,
157,1206.4,-16.5,,,,,,,,,,,,,
158,1201.3,-5.1,,,,,,,,,,,,,
159,1199.2,-2.1,,,,,,,,,,,,,
160,1207.9,8.7,,,,,,,,,,,,,
161,1212.8,4.9,,,,,,,,,,,,,
162,1220.8,8,,,,,,,,,,,,,
163,1223.1,2.3,,,,,,,,,,,,,
164,1219,-4.1,,,,,,,,,,,,,
165,1225.8,6.8,,,,,,,,,,,,,
166,1221,-4.8,,,,,,,,,,,,,
167,1220.2,-0.8,,,,,,,,,,,,,
168,1211.2,-9,,,,,,,,,,,,,
169,1221.4,10.2,,,,,,,,,,,,,
170,1224.1,2.7,,,,,,,,,,,,,
171,1220.2,-3.9,,,,,,,,,,,,,
172,1233.9,13.7,,,,,,,,,,,,,
173,1241.1,7.2,,,,,,,,,,,,,
174,1238.1,-3,,,,,,,,,,,,,
175,1246.8,8.7,,,,,,,,,,,,,
176,1243.7,-3.1,,,,,,,,,,,,,
177,1241.9,-1.8,,,,,,,,,,,,,
178,1244.4,2.5,,,,,,,,,,,,,
179,1242.7,-1.7,,,,,,,,,,,,,
180,1237,-5.7,,,,,,,,,,,,,
181,1247.4,10.4,,,,,,,,,,,,,
182,1249.2,1.8,,,,,,,,,,,,,
183,1252.1,2.9,,,,,,,,,,,,,
184,1263.6,11.5,,,,,,,,,,,,,
185,1253.8,-9.8,,,,,,,,,,,,,
186,1267.5,13.7,,,,,,,,,,,,,
187,1269.2,1.7,,,,,,,,,,,,,
188,1277.3,8.1,,,,,,,,,,,,,
189,1279.9,2.6,,,,,,,,,,,,,
190,1278.3,-1.6,,,,,,,,,,,,,
191,1281,2.7,,,,,,,,,,,,,
192,1291.8,10.8,,,,,,,,,,,,,
193,1282.7,-9.1,,,,,,,,,,,,,
194,1286.8,4.1,,,,,,,,,,,,,
195,1283.2,-3.6,,,,,,,,,,,,,
196,1289.3,6.1,,,,,,,,,,,,,
197,1284.7,-4.6,,,,,,,,,,,,,
198,1287.1,2.4,,,,,,,,,,,,,
199,1289.1,2,,,,,,,,,,,,,
200,1286.2,-2.9,,,,,,,,,,,,,
201,1291.6,5.4,,,,,,,,,,,,,
202,1291,-0.6,,,,,,,,,,,,,
203,1281.3,-9.7,,,,,,,,,,,,,
204,1282.5,1.2,,,,,,,,,,,,,
205,1283.1,0.6,,,,,,,,,,,,,
206,1279.1,-4,,,,,,,,,,,,,
207,1297.4,18.3,,,,,,,,,,,,,
208,1302.4,5,,,,,,,,,,,,,
209,1308.2,5.8,,,,,,,,,,,,,
210,1309.9,1.7,,,,,,,,,,,,,
211,1319.7,9.8,,,,,,,,,,,,,
212,1316.9,-2.8,,,,,,,,,,,,,
213,1314.3,-2.6,,,,,,,,,,,,,
214,1314.2,-0.1,,,,,,,,,,,,,
215,1309.5,-4.7,,,,,,,,,,,,,
216,1309.4,-0.1,,,,,,,,,,,,,
217,1313.7,4.3,,,,,,,,,,,,,
218,1307,-6.7,,,,,,,,,,,,,
219,1309.2,2.2,,,,,,,,,,,,,
220,1310.8,1.6,,,,,,,,,,,,,
221,1309.8,-1,,,,,,,,,,,,,
222,1318.1,8.3,,,,,,,,,,,,,
223,1340.1,22,,,,,,,,,,,,,
224,1343.3,3.2,,,,,,,,,,,,,
225,1323.5,-19.8,,,,,,,,,,,,,
226,1329.2,5.7,,,,,,,,,,,,,
227,1325.9,-3.3,,,,,,,,,,,,,
228,1325.1,-0.8,,,,,,,,,,,,,
229,1317.7,-7.4,,,,,,,,,,,,,
230,1312.8,-4.9,,,,,,,,,,,,,
231,1296.4,-16.4,,,,,,,,,,,,,
232,1284.8,-11.6,,,,,,,,,,,,,
233,1282,-2.8,,,,,,,,,,,,,
234,1284.9,2.9,,,,,,,,,,,,,
235,1283.8,-1.1,,,,,,,,,,,,,
236,1297,13.2,,,,,,,,,,,,,
237,1288.8,-8.2,,,,,,,,,,,,,
